user_id,first_name,middle_name,last_name,username,email,address_id,created_at,last_update
00fcb0d4-7972-404e-bf63-d409538151b2,JAMIE,NULL,WAUGH,JAMIE_WAUGH,JAMIE.WAUGH@sakilacustomer.org,b0a70719-73c3-44ef-aa9b-3d4e5fbf26bc,"2006-02-14 22:04:37","2006-02-15 18:27:20"
0129c1e5-f6c9-4e70-a472-ae10b4fb46fd,ANN,NULL,EVANS,ANN_EVANS,ANN.EVANS@sakilacustomer.org,6d54f597-1d46-4a3f-988a-6979b1a5e19a,"2006-02-14 22:04:36","2006-02-15 18:27:20"
01eefcce-1df7-41b7-baba-3ae07122daa3,REGINALD,NULL,KINDER,REGINALD_KINDER,REGINALD.KINDER@sakilacustomer.org,a06616d4-d4cf-42ef-8850-66722a40a94a,"2006-02-14 22:04:37","2006-02-15 18:27:20"
023923a3-0d07-4028-a200-a6ee253f09f3,ROBERTA,NULL,HARPER,ROBERTA_HARPER,ROBERTA.HARPER@sakilacustomer.org,2554bd9c-d514-46c6-99d9-647714ff7100,"2006-02-14 22:04:36","2006-02-15 18:27:20"
02b6eea3-0739-409c-b231-1ffef6f1266e,KATIE,NULL,ELLIOTT,KATIE_ELLIOTT,KATIE.ELLIOTT@sakilacustomer.org,3ef55131-9e87-4931-800d-ffcb8b388318,"2006-02-14 22:04:36","2006-02-15 18:27:20"
02e80abf-f7d5-4974-9b42-6deb06f3ed0e,KEVIN,NULL,SCHULER,KEVIN_SCHULER,KEVIN.SCHULER@sakilacustomer.org,1d3a412c-390f-45ac-9000-42ac00a255ca,"2006-02-14 22:04:37","2006-02-15 18:27:20"
03001f7d-1e0e-4a7f-9485-5495b0fbbfa5,MITCHELL,NULL,WESTMORELAND,MITCHELL_WESTMORELAND,MITCHELL.WESTMORELAND@sakilacustomer.org,6a85426b-d86a-41d1-af37-cb7eb6f3b59d,"2006-02-14 22:04:37","2006-02-15 18:27:20"
03057025-cdf2-4590-8a9a-abb36ec4905b,CORY,NULL,MEEHAN,CORY_MEEHAN,CORY.MEEHAN@sakilacustomer.org,4f0e7035-3286-4a22-8412-c8f24ff81242,"2006-02-14 22:04:37","2006-02-15 18:27:20"
03b7cf17-0c69-410f-b85f-d149bd0bb59e,APRIL,NULL,BURNS,APRIL_BURNS,APRIL.BURNS@sakilacustomer.org,12e2e6ce-2ace-4850-8070-b6f38df6b175,"2006-02-14 22:04:36","2006-02-15 18:27:20"
0412df17-6f98-42a3-9981-37f57a7ebb3b,EVERETT,NULL,BANDA,EVERETT_BANDA,EVERETT.BANDA@sakilacustomer.org,ea0d1c59-aeaa-48b1-91b1-ed161c5bc554,"2006-02-14 22:04:37","2006-02-15 18:27:20"
