address_uuid,primary_address,secondary_address,district,city_id,postal_code,phone,location,last_update
011305e8-0684-4950-b995-1372b61e3f81,"817 Bradford Loop",NULL,Ji´angsu,ddff23ac-3d25-4384-b068-76aac76e4146,89459.0,264286442804.0,...,"2014-09-26 11:00:31"
011ba280-8e7b-46ea-b010-15b166321a7e,"185 Mannheim Lane",NULL,Stavropol,51c0a268-fdc1-46ba-aa2c-7c8e51c4864f,23661.0,589377568313.0,...,"2014-09-26 11:02:56"
01870428-35b7-4c7a-b116-58f5f7cb7eb6,"41 El Alto Parkway",NULL,Maharashtra,2947592d-e749-4401-a6c3-ede643d85f75,56883.0,51917807050.0,...,"2014-09-26 11:01:22"
01a62f82-bf9a-40c1-a2a2-c00028ede120,"1411 Lillydale Drive",NULL,QLD,a4b5fe87-3557-4687-b16b-30f28693e6c2,NULL,6172235589.0,...,"2014-09-26 11:00:09"
01b4ee91-fbf0-4785-acb2-7bbc9432568a,"85 San Felipe de Puerto Plata Drive",NULL,Shandong,22c56f81-bc9d-4aff-af0d-efdc3a90a596,46063.0,170739645687.0,...,"2014-09-26 11:00:48"
0201fc8e-a568-4477-a512-3e0aa85eb6ed,"1952 Pune Lane",NULL,Saint-Denis,a0dd805d-6dc4-454e-bc2b-a05db61a3041,92150.0,354615066969.0,...,"2014-09-26 11:02:46"
022b468d-584d-4279-befd-0992e62905df,"1386 Nakhon Sawan Boulevard",NULL,Pyongyang-si,76d38ac0-f9b3-4fb1-afe9-3022da798945,53502.0,368899174225.0,...,"2014-09-26 11:02:28"
026911be-c899-4e0c-a6ec-1b9001cdf591,"1752 So Leopoldo Parkway",NULL,Taka-Karpatia,ea2e0c16-a798-4423-9a68-b32d8cdec7ce,14014.0,252265130067.0,...,"2014-09-26 11:03:32"
02f5b8d3-170f-4fa3-bc01-477a3cbaba33,"264 Bhimavaram Manor",NULL,"St Thomas",3e2f4368-f5ab-4216-9e07-fbdf6f5beb0a,54749.0,302526949177.0,...,"2014-09-26 11:04:08"
03402511-e2ad-4564-a7a7-055a209fe1ff,"1551 Rampur Lane",NULL,Changhwa,f960125c-3ec8-440f-a8df-376fa1f0a69f,72394.0,251164340471.0,...,"2014-09-26 11:03:14"
03b1b127-794d-42b9-b487-3b14cb251a1a,"983 Santa F Way",NULL,"British Colombia",e1814530-9971-40bd-805b-65f4f1d0cc77,47472.0,145720452260.0,...,"2014-09-26 11:00:28"
051868dd-8dd3-42ad-b5a5-99e18e6516cc,"915 Ponce Place",NULL,Basel-Stadt,2dfb72d3-fa00-4282-82a8-2f3ef600367b,83980.0,1395251317.0,...,"2014-09-26 11:03:12"
051f971d-4810-4db0-91d7-8db313fa7b37,"1823 Hoshiarpur Lane",NULL,Komi,c861e0d1-f679-474e-b78c-86f0f460ac73,33191.0,307133768620.0,...,"2014-09-26 11:02:57"
0538d003-1e19-4d8d-b088-ccf0dcf9ef0c,"753 Ilorin Avenue",NULL,Sichuan,3117fa92-682b-42e7-b0cb-1895a019e1c3,3656.0,464511145118.0,...,"2014-09-26 11:00:32"
